hosp,dc,rea,LITS,nom_dpt,pop,jour,hosp_hab,rea_hab,dc_hab
170,62,22,22,Ain,643350,2020-04-20,2.642418590191964,0.3419600528483718,0.9637056034817751
304,175,47,34,Aisne,534490,2020-04-20,5.6876648767984435,0.8793429250313383,3.2741491889464722
62,22,18,24,Allier,337988,2020-04-20,1.8343846527095635,0.5325632862705185,0.6509106832195225
45,6,2,6,Alpes-de-Haute-Provence,163915,2020-04-20,2.745325321050544,0.12201445871335753,0.3660433761400726
38,6,10,8,Hautes-Alpes,141284,2020-04-20,2.6896180742334588,0.7077942300614366,0.4246765380368619
276,107,50,89,Alpes-Maritimes,1083310,2020-04-20,2.5477471822470026,0.4615484025809787,0.9877135815232942
103,51,23,8,Ardèche,325712,2020-04-20,3.1623028933536377,0.7061453062828511,1.5658004617576264
66,40,16,12,Ardennes,273579,2020-04-20,2.4124658690908296,0.584840210688686,1.4621005267217146
13,2,1,8,Ariège,153153,2020-04-20,0.848824378236143,0.06529418294124176,0.13058836588248351
256,82,27,12,Aube,310020,2020-04-20,8.257531772143732,0.8709115540932842,2.6449906457647896
65,43,8,16,Aude,370260,2020-04-20,1.7555231458974774,0.21606438718738183,1.1613460811321774
67,19,4,11,Aveyron,279206,2020-04-20,2.3996618983832727,0.14326339691840434,0.6805011353624205
1051,269,228,281,Bouches-du-Rhône,2024162,2020-04-20,5.192272160034622,1.1263920575527058,1.3289450152705167
144,51,35,91,Calvados,694002,2020-04-20,2.0749219742882583,0.5043213131950628,0.7348681992270917
28,0,7,8,Cantal,145143,2020-04-20,1.9291319595157879,0.48228298987894697,0
12,10,3,12,Charente,352335,2020-04-20,0.3405849546596279,0.08514623866490698,0.2838207955496899
83,32,19,30,Charente-Maritime,644303,2020-04-20,1.2882137751958318,0.294892309984588,0.4966607326056219
83,43,4,12,Cher,304256,2020-04-20,2.727965923432899,0.13146823727387463,1.4132835506941521
70,21,13,15,Corrèze,241464,2020-04-20,2.8989828711526355,0.5383825332140609,0.8696948613457907
367,171,65,57,Côte-d'Or,533819,2020-04-20,6.87498946272051,1.2176411854954583,3.2033329649188205
