nom_dpt,rea,dc,LITS,tendu,hosp_hab,hosp-03-18,hosp-03-19,hosp-03-20,hosp-03-21,hosp-03-22,hosp-03-23,hosp-03-24,hosp-03-25,hosp-03-26,hosp-03-27,hosp-03-28,hosp-03-29,hosp-03-30,hosp-03-31,hosp-04-01,hosp-04-02,hosp-04-03,hosp-04-04,hosp-04-05,hosp-04-06,hosp-04-07,hosp-04-08,hosp-04-09,hosp-04-10,hosp-04-11,hosp-04-12,hosp-04-13
Ain,30,44,22,TRUE,1.8652366519002097,2,2,2,4,8,17,22,29,33,49,53,55,67,72,92,105,100,109,112,115,119,124,125,128,118,118,120
Aisne,44,147,34,TRUE,5.350895245935377,41,43,52,61,69,91,107,115,124,132,134,136,135,144,164,186,210,223,221,223,255,260,270,280,279,283,286
Allier,20,13,24,FALSE,1.7160372557605597,4,0,1,5,5,9,9,12,15,18,22,23,30,36,38,36,40,44,45,50,52,53,57,56,60,58,58
Alpes-de-Haute-Provence,4,5,6,FALSE,2.0132385687703995,3,3,3,4,4,4,4,8,9,11,12,12,19,20,22,25,29,29,31,35,29,30,31,35,35,34,33
Hautes-Alpes,13,3,8,TRUE,3.4681917273010394,8,10,13,13,14,19,19,23,29,32,32,39,38,42,52,59,64,60,59,63,64,61,54,52,50,49,49
Alpes-Maritimes,79,75,89,FALSE,2.5662091183502413,25,33,43,46,45,66,55,75,85,99,105,112,119,132,149,182,203,217,219,233,252,258,264,278,267,270,278
Ardèche,24,43,8,TRUE,3.254408802868792,12,11,15,15,22,29,37,48,52,54,62,66,72,87,85,83,95,87,93,102,106,107,107,105,102,102,106
Ardennes,15,17,12,TRUE,2.8876485402753866,0,0,1,3,4,6,5,5,13,14,25,30,30,48,54,66,67,68,73,73,80,75,78,74,69,79,79
Ariège,4,1,8,FALSE,1.0447069270598681,1,1,2,2,2,3,3,7,7,8,8,9,11,12,16,17,16,15,18,18,19,20,18,15,15,16,16
Aube,27,62,12,TRUE,8.38655570608348,5,6,12,12,21,33,36,44,58,61,64,65,70,79,86,104,110,141,148,151,157,153,202,213,219,239,260
Aude,14,40,16,FALSE,2.4577324042564688,8,18,26,26,27,36,33,37,38,45,59,68,73,75,80,101,99,102,95,76,81,73,69,63,66,81,91
Aveyron,5,19,11,FALSE,2.0415034060872617,7,9,12,11,13,14,19,17,22,24,33,34,40,43,46,52,60,58,56,59,55,52,52,50,55,56,57
Bouches-du-Rhône,270,182,281,FALSE,5.666542500056814,98,128,174,203,247,311,369,376,434,525,601,705,811,862,887,946,1022,1040,1095,1169,1074,1107,1045,1089,1064,1133,1147
Calvados,49,36,91,FALSE,2.24783213881228,4,4,4,6,11,26,29,46,51,63,81,93,95,96,111,126,131,130,142,146,151,156,157,165,166,162,156
Cantal,7,0,8,FALSE,1.9980295294984947,2,3,4,5,5,5,7,7,6,7,8,8,10,12,12,21,24,25,26,28,26,26,27,27,27,28,29
Charente,6,8,12,FALSE,0.39734911376956594,1,0,1,3,5,6,13,18,19,27,23,30,35,14,17,19,18,17,17,15,12,11,11,10,13,14,14
Charente-Maritime,19,23,30,FALSE,1.319255070983683,5,7,9,11,12,13,26,26,36,36,41,46,61,56,65,66,74,79,79,81,89,91,80,78,79,86,85
Cher,14,35,12,TRUE,2.3664282709297435,0,0,0,0,0,0,2,7,9,12,16,18,32,38,40,38,43,47,49,55,54,51,60,66,66,68,72
Corrèze,13,14,15,FALSE,2.1121160918397774,0,1,1,1,4,6,12,15,16,16,29,32,37,38,39,38,42,43,42,44,41,43,44,39,46,48,51
Côte-d'Or,73,119,57,TRUE,6.369200047207012,60,53,82,79,101,113,114,153,163,170,202,218,211,166,190,202,212,255,259,284,307,310,290,350,325,344,340
Côtes-d'Armor,11,20,14,FALSE,1.2357760506601383,1,2,5,7,7,9,11,15,22,32,34,36,39,39,47,59,65,62,70,75,69,66,64,70,69,73,74
Creuse,15,4,8,TRUE,2.8658608540265345,0,0,0,1,1,2,2,4,4,6,6,6,8,9,11,11,11,12,12,11,13,28,29,29,31,33,34
Dordogne,7,1,19,FALSE,0.749505568101043,2,2,3,4,6,20,24,29,33,41,11,11,11,10,13,15,20,25,26,28,26,23,22,26,24,26,31
Doubs,75,72,40,TRUE,3.932720793519173,26,33,43,48,63,65,80,84,84,100,91,148,152,148,161,186,173,175,183,183,196,199,199,190,186,213,212
Drôme,56,80,24,TRUE,4.574306083631607,17,32,38,43,46,58,67,90,116,129,165,183,209,214,240,229,250,254,251,260,244,247,241,230,227,236,234
Eure,7,35,12,FALSE,1.5286378673507874,0,1,4,7,12,15,15,22,35,37,37,37,39,43,43,54,63,69,68,67,66,50,67,87,94,94,92
Eure-et-Loir,25,42,20,TRUE,5.35508606223441,5,11,12,13,15,34,41,50,58,68,73,98,114,121,121,146,151,162,174,166,171,177,186,198,202,219,232
Finistère,37,16,66,FALSE,1.331092111574121,13,17,20,20,19,22,22,33,41,41,48,50,54,49,56,66,74,79,82,93,94,102,109,110,116,123,121
Corse-du-Sud,15,35,10,TRUE,4.51513205171416,NA,NA,60,62,58,59,63,74,88,95,101,91,92,89,88,74,72,80,78,76,79,81,78,72,70,70,71
Haute-Corse,0,3,8,FALSE,0.22511241551249656,NA,NA,6,6,6,6,7,7,7,7,7,7,7,10,8,12,16,17,17,16,15,9,10,6,6,4,4
Gard,40,27,49,FALSE,1.2362633670976568,5,4,8,7,13,15,14,19,17,25,36,39,44,55,74,74,70,66,89,106,110,104,106,108,97,95,92
Haute-Garonne,95,28,161,FALSE,1.7832611222656665,23,26,35,51,55,71,89,108,140,156,163,185,214,219,216,214,226,227,226,235,230,229,247,250,239,244,243
Gers,4,9,8,FALSE,1.622263738218964,1,3,3,4,4,5,8,11,10,15,16,20,19,19,25,27,27,27,29,28,26,29,28,25,23,28,31
Gironde,103,69,183,FALSE,1.9641476735902348,7,7,10,39,54,68,99,144,166,204,216,237,288,300,296,298,311,305,305,312,315,290,282,281,308,299,311
Hérault,58,76,124,FALSE,1.7294207663255572,37,49,61,65,66,82,99,135,152,177,202,234,242,236,238,245,264,252,257,265,254,240,224,212,185,183,198
