nom_reg,hosp_hab,hosp,rea,lits
Île-de-France,5.917922804988632,7205,686,1147
Grand Est,4.51385022234091,2505,204,465
Hauts-de-France,2.684959479930677,1612,153,438
Centre-Val de Loire,2.674427812186075,689,48,180
Bourgogne-Franche-Comté,2.3333379573262367,656,61,198
Provence-Alpes-Côte d'Azur,2.01356022493038,1013,98,460
Auvergne-Rhône-Alpes,1.9186524090033488,1525,149,559
Mayotte,1.8712137159965383,48,11,6
Normandie,1.3061188213823962,435,31,240
Pays de la Loire,1.1816052799659358,444,30,181
Corse,1.0151132448393434,34,4,18
Bretagne,0.6990259435042411,232,22,162
Nouvelle-Aquitaine,0.6345499345473493,378,57,412
Guyane,0.6326758466691478,17,0,13
Occitanie,0.501274400344083,293,60,474
Martinique,0.48309956682072175,18,2,26
Guadeloupe,0.3331172342044776,13,2,27
La Réunion,0.1405713522612659,12,0,52
